'Erdos289.PInt.add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.PInt.sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.PInt.sum_inv' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.sum_cofactors' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.num_dvd_of_eq_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.P1_pIntegral_num' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.P1_num' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.one_le_padicValRat_of_num_dvd' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.P1' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.P1_kurschak_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.witness_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.witness_P1_three' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos289.witness_P1_kurschak_two' depends on axioms: [propext, Classical.choice, Quot.sound]
