'Erdos52Frag.empty_holds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.card_le_max' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.const_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.eps_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.exists_beats' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.card_AP' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.card_AP_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.card_GP' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.card_GP_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.not_sumOnly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.not_prodOnly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos52Frag.max_is_necessary' depends on axioms: [propext, Classical.choice, Quot.sound]
