'Erdos564.ramseySet_upward' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.lt_hypergraphRamsey_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.not_mem_ramseySet_of_colouring' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.dropMax_insert' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.ramseySet_shrink' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.hypergraphRamsey_shrink' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.graphRamsey_le_hypergraphRamsey' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.erdos564_of_colourings' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.card_host' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.delta_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.delta_ne' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.col_triple' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.mono_card_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.not_mem_ramseySet_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos564.pow_lt_hypergraphRamsey' depends on axioms: [propext, Classical.choice, Quot.sound]
