'Erdos949Close.sumFree_disjoint_sub' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.sub_subset_compl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.witness_of_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.witness_of_measurable_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.gap_of_measurable_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.exists_maximal_partial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.cover_of_maximal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.witness_of_mk_lt_continuum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.uncountable_witness_of_volume_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.witness_of_fourfold' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.measurable_dichotomy' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.control_Ico_sumFree' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.control_Ico_witness' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos949Close.control_witness_not_trivial' depends on axioms: [propext, Classical.choice, Quot.sound]
